COUNTRY,x,y
Bahrain,168.46898467425592,115.76882229053628
India,270.5766802843394,104.82800252331876
Iran,180.79025667021813,146.2489944128447
Kuwait,158.54370364400614,130.13938206863597
Maldives,243.6692081713493,-2.6958120746710774
Nepal,280.44629943785566,125.78186977669182
Oman,186.13696039943002,92.107925859204
Pakistan,230.29450302565505,133.84972609515947
Qatar,170.65983062477343,112.5267932730017
Saudi Arabia,148.66986059408535,107.27128064336844
Somalia,151.33459557479907,28.997931436017442
Sri Lanka,268.89770565902074,34.2072486192442
Tajikistan,236.47384270218993,171.41925059479877
Turkmenistan,194.859119209018,173.60307191117462
United Arab Emirates,180.93068419298604,107.47779076929488
Yemen,158.22719310687955,71.11730051692199
Armenia,150.1830277321753,178.5707232991413
Azerbaijan,162.11530890214772,179.5202266409107
Kazakhstan,221.2530644931003,211.73984531189708
Kyrgyzstan,247.2510967822773,183.80884024170481
Uzbekistan,212.84943253132835,184.39069566428134
Christmas Island,352.34031707335157,-46.42862578748185
Cocos Islands,322.7896255774334,-54.094442000886865
Indonesia,379.88460822824345,0.69297688706834
Timor-Leste,419.834134985422,-39.15508724711983
Australia,446.74257236387206,-114.21038966214702
Nauru,556.4312544379726,-2.3204539736306633
New Caledonia,551.6922346812871,-94.80014989603676
Norfolk Island,559.841986582778,-129.05624197798346
Papua New Guinea,482.7829809982317,-31.808501418453933
Solomon Islands,533.8825265011295,-42.724909931540076
Tuvalu,597.39277992531,-37.843117806432105
Vanuatu,556.163757855658,-67.50725387421926
Cambodia,350.13243595602336,56.4408305133679
Laos,345.87919663421496,80.52125660832569
Malaysia,382.1110101330956,16.318492691727936
Myanmar,323.62974284657815,88.4499019173328
Singapore,346.03419192113506,6.012556395558377
Thailand,336.9558372071517,60.72101265535725
Vietnam,353.0446277586235,73.4104318703973
Bangladesh,301.4404187536204,105.21657184498223
Bhutan,301.55722157246197,121.87395262043663
China,348.97046186165346,169.21446582692127
Brunei Darussalam,382.14365278682135,20.1920261774116
Philippines,406.07363138055814,69.27352111597442
South Korea,425.87415171192157,161.78838538908497
Mongolia,344.662453442485,209.27308687132674
North Korea,424.4599352179147,178.63102628759285
Guam,482.60081527662675,59.757468799756786
Japan,458.2311411450612,163.41061478212572
Marshall Islands,562.4005341783692,32.479688448863755
Micronesia,527.4306331481757,30.573088057446864
Northern Mariana Islands,485.8039912401045,67.45806007303163
Palau,448.5988362240351,33.48789267798843
Russian Federation,328.90166356601065,262.39748539602755
Spain,-12.172083803318992,179.4000370519282
Canarias,-55.1266480340549,125.76740047344686
